mol solvent,mol solute,target Gsolv kcal
CC1CCCCC1,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.89318246
CC(=O)OC,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.87823142
COC=O,C(=O)(O)CCCCCCCCCCCCCCCCC,-16.02711848
CCC(=O)OC,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.83097282
Cc1cc(ccc1)C,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.93915483
CCCCc1ccccc1,C(=O)(O)CCCCCCCCCCCCCCCCC,-17.11277267
CCCCCCCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.95903833
CCCCCCCCCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.20468131
CCCCCCCCCCCCCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-13.76034584
CCCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.79936391
c1ccc(cc1)N(=O)=O,C(=O)(O)CCCCCCCCCCCCCCCCC,-16.07286832
CCN(=O)=O,C(=O)(O)CCCCCCCCCCCCCCCCC,-13.4039926
CNc1ccccc1,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.0573082
CC(=O)N(C)C,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.61051328
CN(C)C=O,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.87088266
CCCCCCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.69280527
CCCCCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.58951218
CCCCCCCCCCCCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-16.21035314
CCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.39689249
CCCCCCCCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.95380615
Cc1ccccc1Cl,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.41664336
Cc1ccccc1O,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.26796565
c1ccc(c(c1)Cl)Cl,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.57117824
Cc1ccccc1N(=O)=O,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.87651142
Cc1ccccc1C,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.94422408
CCCCC=O,C(=O)(O)CCCCCCCCCCCCCCCCC,-9.886011821
CCCCC(=O)O,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.37159154
CCCCCN,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.30864583
CCCCCOC(=O)C,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.34826639
c1(c(c(c(c(c1F)F)F)F)F)F,C(=O)(O)CCCCCCCCCCCCCCCCC,-13.6912652
Cc1ccc(cc1)C(C)C,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.41416783
CCC=O,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.87117947
CCC(=O)O,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.65843492
CCCN,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.11996188
CCCOC(=O)C,C(=O)(O)CCCCCCCCCCCCCCCCC,-16.04719377
Cc1ccc(cc1)C,C(=O)(O)CCCCCCCCCCCCCCCCC,-12.40415411
c1ccncc1,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.2888592
CCC(C)c1ccccc1,C(=O)(O)CCCCCCCCCCCCCCCCC,-7.836243882
CC(C)(C)c1ccccc1,C(=O)(O)CCCCCCCCCCCCCCCCC,-16.10670363
C(=C(Cl)Cl)(Cl)Cl,C(=O)(O)CCCCCCCCCCCCCCCCC,-15.51587583
C1CCS(=O)(=O)C1,C(=O)(O)CCCCCCCCCCCCCCCCC,-13.68814648
C1CCc2ccccc2C1,C(=O)(O)CCCCCCCCCCCCCCCCC,-13.99126368
c1cscc1,C(=O)(O)CCCCCCCCCCCCCCCCC,-13.55792445
c1ccc(cc1)S,C(=O)(O)CCCCCCCCCCCCCCCCC,-12.30549204
C1CCC2CCCCC2C1,C(=O)(O)CCCCCCCCCCCCCCCCC,-11.42716449
CCCCOP(=O)(OCCCC)OCCCC,C(=O)(O)CCCCCCCCCCCCCCCCC,-13.50078845
C(=C(Cl)Cl)Cl,C(=O)(O)CCCCCCCCCCCCCCCCC,-12.65451032
CCN(CC)CC,C(=O)(O)CCCCCCCCCCCCCCCCC,-14.00073029
C(=C\Cl)\Cl,C(=O)(O)CCCCCCCCCCCCCCCCC,-13.70588052
